v8-version,5,1,281,88,0
code-creation,Stub,3,0x3d2d2ea19e80,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea1a0e0,539,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea1a300,320,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1a440,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1a4c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1a540,204,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1a620,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea1a6a0,447,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea1a860,204,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea1a940,204,"BinaryOpICStub"
code-creation,Stub,17,0x3d2d2ea1aa20,216,"ToBooleanICStub"
code-creation,Handler,4,0x3d2d2ea1ab00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1ab80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1af20,419,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1b0e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x3d2d2ea1b160,194,"CompareICStub"
code-creation,Handler,4,0x3d2d2ea1b240,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1b3a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1b420,212,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea1b500,224,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1b5e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1b660,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Handler,4,0x3d2d2ea1b6e0,551,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea1b920,2380,"RecordWriteStub"
code-creation,Stub,15,0x3d2d2ea1c280,204,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea1c360,1529,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea1c960,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x3d2d2ea1cbc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1cc40,240,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1cd40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea1cdc0,734,"ToLengthStub"
code-creation,Stub,3,0x3d2d2ea1d0a0,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x3d2d2ea1d140,1503,"RecordWriteStub"
code-creation,Stub,15,0x3d2d2ea1d720,276,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1d840,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1d8c0,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1d980,151,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea1da20,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x3d2d2ea1dc20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea1dca0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3d2d2ea1de80,415,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1e020,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1e0a0,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea1e460,188,"DoubleToIStub"
code-creation,Stub,15,0x3d2d2ea1e520,467,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea1e700,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x3d2d2ea1ed00,514,"A load IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea1ef20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1efa0,467,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea1f180,415,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1f320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1f3a0,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x3d2d2ea1f4c0,172,"CompareICStub"
code-creation,Stub,15,0x3d2d2ea1f580,443,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1f740,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1f7c0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1f980,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea1fa00,443,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea1fbc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea1fc40,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea1fce0,791,"FastNewClosureStub"
code-creation,Stub,17,0x3d2d2ea20000,150,"ToBooleanICStub"
code-creation,Stub,3,0x3d2d2ea200a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x3d2d2ea20180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea20380,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3d2d2ea205e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x3d2d2ea207e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea20860,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea208e0,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x3d2d2ea20b20,151,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea20bc0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3d2d2ea20f80,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3d2d2ea21160,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea21520,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x3d2d2ea215a0,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3d2d2ea21b20,188,"DoubleToIStub"
code-creation,Stub,15,0x3d2d2ea21be0,419,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea21da0,443,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea21f60,224,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea22040,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x3d2d2ea22240,284,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea22360,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea224c0,320,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea22600,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea22680,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea22700,204,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea227e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea22860,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea228e0,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3d2d2ea22960,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3d2d2ea229e0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3d2d2ea22bc0,151,"BinaryOpICStub"
